family,genus,species,leaf habit,leaf type,mean specific leaf area (cm^2 g^-1),mean leaf area (cm^2),mean leaf dry-matter content (g g^-1),mean wood density (g cm^-3),mean foliar delta13C (perMil),mean foliar phosphorus (P; %),mean foliar nitrogen (P; %),mean foliar carbon (P; %),foliar carbon to nitrogen ratio,foliar nitrogen to phosphorus ratio,foliar carbon to phosphorus ratio,mean seed mass (g),dispersal syndrome,maximum observed height (m),mean wood vessel diameter (mm),mean xylem vessel density (# vessels cm^-3)
Fagaceae,Quercus,oleoides,evergreen,simple,63.800396,19.60777778,0.507052655,0.80000511,-28.267511,0.0732187,1.45744355,47.8900595,33.1520529,20.4371686,654.0686942,2.052407844,animals,31.8,0.454412239,1.797210729
Verbenaceae,Rehdera,trinervis,deciduous,simple,74.861881,30.7375,0.384252131,0.74366273,-28.45075,0.0704737,1.4467965,44.4392633,31.8578513,20.7050213,630.5793977,0.052712765,windOrGravity,25.8,0.135937554,8.386983402
Euphorbiaceae,Sapium,glandulosum,evergreen,simple,72.9608123,82.91333333,0.351250601,0.46969941,-28.220175,0.1678101,2.1213276,39.1053006,18.4801131,12.64123911,233.033057,NA,all,25,NA,NA
Annonaceae,Sapranthus,palanga,deciduous,simple,157.198409,199.7033333,0.37334464,0.65580283,-30.956747,0.15707635,3.62871265,45.8634933,12.7786684,23.4350399,291.9821685,NA,animals,14.9,NA,NA
Olacaceae,Schoepfia,schreberi,evergreen,simple,63.6551455,15.12555556,0.448552062,0.62748828,-30.386562,0.10282833,2.71950163,43.6588758,16.3409647,26.3954414,424.580228,NA,animals,9.9,NA,NA
Euphorbiaceae,Sebastiania,pavoniana,deciduous,simple,121.402741,34.225,0.421050515,0.58222739,-29.675105,0.10938795,2.09721152,45.8150802,22.1490877,19.6835555,418.8311436,0.019783334,windOrGravity,17.1,NA,NA
Celastraceae,Semialarium,mexicanum,deciduous,simple,NA,16.88416667,0.405183911,NA,NA,NA,NA,NA,NA,NA,NA,NA,windOrGravity,12.4,0.125253065,5.248996415
Fabaceae,Senna,atomaria,deciduous,compound,103.853844,115.2844444,0.400054243,0.68752266,-29.169972,0.20243317,2.99272335,46.6666085,15.6509386,15.9160198,230.5284677,NA,windOrGravity,26.2,NA,NA
Sapotaceae,Sideroxylon,capiri,evergreen,simple,76.4671691,30.18,0.470149943,0.86802122,-29.351628,0.09028225,2.44299995,46.4443389,19.243789,27.6166262,514.434885,0.90097735,animals,26.2,NA,NA
Simaroubaceae,Simarouba,glauca,evergreen,compound,54.7833132,114.8208333,0.435978383,0.40510321,-28.26773,0.07089035,1.35089393,45.6486607,35.1659105,19.4314051,643.933352,0.9416,animals,16,NA,NA
Elaeocarpaceae,Sloanea,terniflora,evergreen,simple,68.616043,19.08666667,0.60069935,0.81202231,-27.692313,0.0698091,1.16851626,42.974366,37.1903382,16.7294945,615.5983389,0.103333333,animals,10.1,NA,NA
Anacardiaceae,Spondias,mombin,deciduous,compound,75.0149537,388.5308333,0.386566705,0.42802635,-28.905648,0.11011963,1.93982586,45.4998076,23.9220702,17.831452,413.1852568,1.237958334,animals,37.2,0.28218044,2.831968421
Anacardiaceae,Spondias,purpurea,deciduous,compound,116.12512,86.76,0.326405707,0.36297814,-29.633802,0.10834438,2.0888929,44.2975035,21.5084601,19.0017993,408.8583413,1.036263158,animals,18.6,NA,NA
Apocynaceae,Stemmadenia,obovata,deciduous,simple,198.423256,124.96,0.261713487,0.52803346,-30.1382,0.1187978,3.50421252,43.4145094,12.4044977,29.4972846,365.4487659,NA,animals,13.2,NA,NA
Fabaceae,Swartzia,cubensis,evergreen,compound,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,animals,10.6,NA,NA
Meliaceae,Swietenia,macrophylla,deciduous,compound,68.7157179,180.1611111,0.458382911,0.67070618,-27.95325,0.07935013,1.56912456,47.1162168,30.3188812,19.8605743,593.7761765,0.255083333,windOrGravity,18,0.160936999,6.656336033
Bignoniaceae,Tabebuia,impetiginosa,deciduous,compound,97.854777,268.7866667,0.487703143,0.71462209,-27.625065,0.0897831,2.27117029,43.6524329,19.3404962,25.29618926,486.1987713,NA,windOrGravity,18.2,NA,NA
Bignoniaceae,Tabebuia,ochraceae,deciduous,compound,75.7726323,246.4605556,0.474682273,0.80433333,-27.93842,0.12013883,2.55842227,48.127719,18.9232334,21.1679151,400.6008632,0.011448333,windOrGravity,22.1,0.128174648,9.318870446
Bignoniaceae,Tabebuia,rosea,deciduous,compound,72.685224,240.8666667,0.363370843,0.53215581,-28.222425,0.09544316,1.51437083,46.0802381,31.70851,15.9000096,482.8029384,0.024533333,windOrGravity,20.8,NA,NA
Sapindaceae,Thouinidium,decandrum,semideciduous,compound,110.194215,75.19888889,0.559947394,0.80488558,-28.457664,0.10938303,1.9461336,48.6167129,25.009801,18.0354595,444.4630296,0.041695913,windOrGravity,13.9,NA,NA
Meliaceae,Trichilia,americana,deciduous,compound,109.404315,572.1111111,0.387925354,0.61234001,-29.800518,0.12832903,2.47249068,48.6901036,19.8031525,19.4014446,379.4161274,0.105675,animals,19,NA,NA
Meliaceae,Trichilia,martiana,evergreen,compound,153.451987,281.1288889,0.364401992,0.52937713,-32.072531,0.15534883,2.19347031,46.5961291,21.9967677,14.1932515,299.9451563,NA,animals,22.2,NA,NA
Flacourtiaceae,Zuelania,guidonia,deciduous,simple,75.3518778,105.1066667,0.408632522,0.57194001,-29.355714,0.10665133,2.45949967,47.5972202,20.1134648,22.9598067,446.2881072,NA,animals,26,NA,NA
