No;Nombre de la Estación;Años de observación;Periodicidad de la información*
1;Aeropuerto Simón Bolívar* (Apto);1980 - 2023;Mensual
2;San Lorenzo (SLrzo);1980 – 2023;Mensual
3;Parque Nacional Nat. Tayrona (PNNT);1980 - 2023;Mensual
