;Especie ;Grupo;M-1;M-2;M-3;M-4;M-5;M-6;M-7;M-8;M-9;M-10;M-11;M-12;M-13;M-14;M-15;M-16;M-17;M-18;M-19;M-20;M-21;M-22;M-23;M-24;M-25;M-26;M-27;M-28;M-29
32;S. sarana;3;0,47;0,73;0,29;0,31;0,14;0,16;0,89;0,73;0,85;0,91;1,27;0,61;0,61;0,54;0,31;0,39;0,61;0,19;0,2;33;11;11;14;12;14;9;10;19;32
33;S. sarana;3;0,47;0,75;0,28;0,33;0,14;0,15;0,86;0,66;0,79;0,84;1,31;0,62;0,62;0,49;0,29;0,37;0,57;0,2;0,21;34;10;11;14;12;14;9;9;19;32
34;S. sarana;3;0,49;0,73;0,28;0,31;0,13;0,15;0,89;0,65;0,79;0,83;1,29;0,64;0,62;0,49;0,3;0,31;0,57;0,14;0,14;32;10;11;14;12;14;9;9;19;33
35;S. sarana;3;0,47;0,76;0,27;0,3;0,11;0,14;0,88;0,67;0,79;0,84;1,31;0,6;0,6;0,51;0,29;0,4;0,65;0,22;0,23;32;10;11;14;12;14;9;9;19;32
36;S. sarana;3;0,48;0,8;0,29;0,32;0,13;0,15;0,86;0,66;0,76;0,85;1,15;0,63;0,65;0,49;0,25;0,36;0,54;0,17;0,2;32;11;11;14;12;14;9;9;19;32
37;S. sarana;3;0,48;0,76;0,29;0,34;0,14;0,2;0,88;0,66;0,8;0,88;1,34;0,71;0,66;0,43;0,31;0,27;0,53;0,08;0,19;32;11;11;14;13;14;9;11;19;32
38;S. sarana;3;0,5;0,81;0,28;0,3;0,13;0,17;0,92;0,53;0,77;0,87;1,14;0,6;0,56;0,57;0,22;0,36;0,48;0,25;0,2;32;11;11;14;12;13;9;9;19;33
39;S. sarana;3;0,5;0,85;0,3;0,34;0,14;0,17;0,94;0,61;0,78;0,84;1,13;0,6;0,58;0,52;0,28;0,41;0,56;0,25;0,26;31;10;11;14;12;14;9;9;19;32
40;S. sarana;3;0,47;0,7;0,27;0,29;0,1;0,13;0,88;0,69;0,77;0,86;1,33;0,6;0,66;0,5;0,3;0,34;0,54;0,16;0,23;30;10;11;16;12;15;9;9;19;32
41;S. sarana;3;0,47;0,74;0,3;0,3;0,14;0,16;0,87;0,64;0,75;0,85;1,34;0,66;0,77;0,43;0,3;0,34;0,45;0,16;0,2;31;10;11;16;12;14;9;9;19;32
42;S. sarana;3;0,49;0,75;0,26;0,3;0,13;0,15;0,9;0,66;0,75;0,8;1,2;0,63;0,55;0,46;0,28;0,39;0,57;0,18;0,23;30;10;11;14;12;15;9;9;19;34
43;S. sarana;3;0,46;0,75;0,26;0,28;0,12;0,14;0,89;0,69;0,77;0,89;1,04;0,64;0,61;0,43;0,27;0,36;0,5;0,17;0,2;30;10;11;16;13;15;9;9;20;32
44;S. sarana;3;0,52;0,8;0,28;0,31;0,14;0,16;0,91;0,64;0,74;0,81;1,32;0,62;0,58;0,5;0,35;0,35;0,51;0,17;0,19;30;10;11;14;12;14;9;9;20;32
45;P. sophore;4;0,37;0,8;0,27;0,31;0,11;0,13;0,76;0,67;0,73;0,8;1,1;0,57;0,6;0,7;0,3;0,26;0,7;0,26;0,6;23;8;9;12;9;15;8;9;19;26
46;P. sophore;4;0,31;0,81;0,27;0,25;0,06;0,07;0,73;0,58;0,69;0,81;1,11;0,51;0,6;0,7;0,3;0,3;0,7;0,3;0,52;24;8;8;13;9;15;8;9;19;26
47;P. sophore;4;0,38;0,82;0,25;0,32;0,12;0,14;0,7;0,63;0,74;0,82;1,18;0,57;0,51;0,6;0,3;0,43;0,73;0,43;0,36;23;8;8;12;9;15;8;9;19;26
48;P. sophore;4;0,37;0,82;0,26;0,31;0,13;0,15;0,63;0,61;0,72;0,86;1,16;0,56;0,52;0,7;0,26;0,35;0,6;0,26;0,3;24;8;9;11;9;15;8;9;19;26
49;P. sophore;4;0,36;0,85;0,28;0,28;0,12;0,14;0,61;0,61;0,69;0,85;1,11;0,59;0,52;0,7;0,26;0,35;0,6;0,3;0,26;25;8;9;12;9;15;8;9;19;26
50;P. sophore;4;0,4;0,99;0,25;0,29;0,12;0,14;0,64;0,69;0,75;0,89;1,11;0,57;0,62;0,85;0,32;0,28;0,62;0,32;0,32;25;8;9;12;9;15;8;9;19;26
